id,us_votes,non_us_votes,us_rating,non_us_rating,title,year,genre,duration,country,language,director,writer,production_company,actors,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt4695462,"
38
","
222
",7.5,7.1,Jang-su Sahng-hoe,2015,"Drama, Romance",112,South Korea,Korean,Je-kyu Kang,"Sang-Hyeon Lee, Je-kyu Kang",Big Picture,"Geun-hyeong Park, Yuh-Jung Youn, Jin-woong Cho, Ji-min Han, Chan-Yeol Park, Kysuk Cho, Moon-cheol Nam",7.3,396,NA,$ 22480,$ 7858183,NA,3,1
tt4696010,"
11
","
281
",3.1,5.2,Merdiven baba,2015,"Comedy, Drama, Family",105,Turkey,Turkish,"Hasan Tolga Pulat, Koralp Gumus","Birol Güven, Birol Güven",MinT Motion Pictures,"Kivanç Baran Aslan, Özlem Balci, Derya Beserler, Esra Dermancioglu, Emin Gümüskaya, Haci Ali Konuk, Duru Ok, Bengu Sen, Askin Senol, Faruk Sofuoglu",5.3,485,NA,NA,NA,NA,NA,3
tt4696222,"
183
","
481
",7,6.3,Yeonpyeong haejeon,2015,"Drama, War",130,South Korea,Korean,Hak-sun Kim,"Soon-jo Choi, Hak-sun Kim",Rosetta Cinema,"Mu-Yeol Kim, Goo Jin, Hyun-Woo Lee, Chang-Hyeon Han, Eui-soo Jang, Ji-Hoon Kim, Chung-Ah Lee, Wan Lee",6.6,963,NA,$ 337907,$ 40034677,NA,10,17
tt4697026,"
8
","
31
",4.2,4,Singham123,2015,"Action, Comedy",116,India,Telugu,Akshat Ajay Sharma,Diamond Ratnam,24 Frames Factory,"Annapoorna, Sampoornesh Babu, Bhavani, Prudvi Raj, Sanam Shetty",4.8,169,INR 20000000,NA,NA,NA,1,1
tt4697076,"
21
","
82
",6,5.7,Dynamite,2015,"Action, Thriller",142,India,Telugu,Deva Katta,B.V.S. Ravi,24 Frames Factory,"Vishnu Manchu, J.D. Chakravarthi, Viva Harsha, Nagineedu, Venkateswara Rao Paruchuri, Ravi Prakash, Pranitha, Praveen, Raja Ravindra, Raviraja, Prabhas Sreenu",6.6,820,INR 100000000,NA,NA,NA,4,NA
tt4697586,"
11
","
180
",6.9,6.2,Problemski Hotel,2015,"Comedy, Drama",110,"Belgium, France","English, Russian, Arabic",Manu Riche,"Steve Hawes, Manu Riche",Cassette for Timescapes,"Tarek Halaby, Gökhan Girginol, Evgenia Brendes, Lydia Indjova, Michael Cambier, Kristien De Proost, Natalia Dufraisse, Carlo Ferrante, Ilyas Mettioui, Gorges Ocloo, Jean-Benoît Ugeux, Pieter Verelst",6.4,264,NA,NA,$ 51940,NA,1,10
tt4697944,"
385
","
67
",8.1,5.3,Jake and the Giants,2015,Animation,82,USA,English,Kent Butterworth,"Robert Bolt, William Goldman",Boat Angel / Car Angel,"Nick Delia, Debi Derryberry, Scott Jeffers, Katie Leigh, Mona Marshall, Ken Mary, Mark Slaughter, Mark Slaughter, Brian Stewart, Lyla Stewart, Mark Thompson",7,413,$ 1000000,NA,NA,NA,10,11
tt4699254,"
13
","
72
",4.9,5.5,Dongata,2015,Comedy,140,India,Telugu,Vamsi Krishna,"Mohan Bharadwaj, Sai Madhav Burra",Manchu Entertainment,"Lakshmi Manchu, Adivi Sesh, Nagarjuna Akkineni, Brahmanandam, Rana Daggubati, Madhunandan, Manoj Kumar Manchu, Madhu Nandan, Navdeep, Taapsee Pannu, Sudheer Babu Posani, Prabhakar, Pragathy, Prithvi, Jayaprakash Reddy",6.3,823,NA,NA,NA,NA,NA,NA
tt4699624,"
36
","
65
",2.4,2.3,KillerSaurus,2015,"Action, Adventure, Comedy",75,UK,English,Steve Lawson,Steve Lawson,Creativ Studios,"Julian Boote, Adam Collins, Helen Crevel, Steven Dolton, Vicki Glover, Kenton Hall, Marc Hamill",2.5,112,NA,NA,NA,NA,6,8
tt4699658,"
183
","
276
",5.9,6.6,De Grote Zwaen,2015,"Crime, Thriller",111,Netherlands,Dutch,Max Porcelijn,Max Porcelijn,CTM LEV Pictures,"Peter van de Witte, Ton Kas, Michiel Romeyn, Anniek Pheifer, Ruben van der Meer, René van 't Hof, Arnoud Bos, Pieter Bouwman, Horace Cohen, Steef Cuijpers, Raymonde de Kuyper, Lukas Dijkema, Eva Duijvestein, Fred Goessens, Kees Hulst",6.6,290,NA,NA,NA,NA,2,9
