id,us_votes,non_us_votes,us_rating,non_us_rating
tt0113481/,"
13,678
","
34,282
",5.4,5.7
tt0113482/,"
12
","
80
",5.5,5.5
tt0113490/,"
404
","
268
",6.6,6.3
tt0113492/,"
20,510
","
56,647
",5.4,5.6
tt0113497/,"
52,492
","
141,047
",7.0,7.0
tt0113501/,"
5,510
","
12,545
",6.4,6.4
tt0113510/,"
34
","
1,288
",4.7,4.9
tt0113515/,"
8
","
87
",6.7,6.6
tt0113523/,"
83
","
363
",7.8,7.5
tt0113526/,"
821
","
6,864
",6.6,6.7
tt0113530/,"
14
","
92
",6.6,6.9
tt0113533/,"
590
","
491
",5.1,5.0
tt0113535/,"
161
","
73
",5.8,5.9
tt0113537/,"
4,648
","
4,195
",7.0,6.6
tt0113538/,"
2,820
","
1,486
",4.9,4.4
tt0113540/,"
17,883
","
34,003
",7.0,7.0
tt0113541/,"
134
","
112
",5.5,4.4
tt0113542/,"
390
","
1,280
",6.3,6.3
tt0113546/,"
54
","
36
",4.2,3.1
tt0113547/,"
20
","
173
",6.3,6.4
tt0113552/,"
4,742
","
8,971
",6.0,5.9
tt0113556/,"
17
","
619
",6.2,6.6
tt0113557/,"
343
","
1,041
",7.2,7.3
tt0113564/,"
53
","
84
",5.2,5.2
tt0113568/,"
19,172
","
64,836
",7.9,8.0
tt0113571/,"
17
","
87
",6.3,7.0
tt0113575/,"
5
","
96
",3.5,4.5
tt0113576/,"
117
","
534
",5.9,4.2
tt0113580/,"
69
","
1,620
",6.9,7.0
tt0113581/,"
14
","
232
",6.3,6.4
tt0113588/,"
16
","
82
",7.1,6.2
tt0113598/,"
34
","
765
",7.2,7.3
tt0113601/,"
41
","
31
",4.8,5.1
tt0113602/,"
142
","
70
",4.4,4.2
tt0113609/,"
263
","
272
",4.6,4.4
tt0113612/,"
214
","
77
",5.8,5.8
tt0113613/,"
3,612
","
6,806
",6.7,6.7
tt0113617/,"
2,217
","
1,320
",7.2,6.6
tt0113623/,"
28
","
798
",5.6,6.3
tt0113624/,"
100
","
86
",5.3,4.2
tt0113627/,"
24,752
","
57,465
",7.5,7.5
tt0113638/,"
386
","
212
",5.8,5.6
tt0113647/,"
16
","
163
",5.6,6.3
tt0113650/,"
234
","
184
",4.8,4.6
tt0113651/,"
71
","
294
",6.4,6.6
tt0113662/,"
13
","
223
",4.9,5.7
tt0113664/,"
25
","
364
",5.1,6.0
tt0113670/,"
9,259
","
13,095
",7.8,7.5
tt0113672/,"
75
","
285
",6.2,6.9
tt0113674/,"
654
","
599
",5.3,5.2
tt0113677/,"
4,415
","
8,083
",7.5,7.5
tt0113690/,"
5,602
","
6,837
",6.1,6.0
tt0113691/,"
2,188
","
1,792
",6.6,6.2
tt0113703/,"
877
","
4,095
",7.7,7.9
tt0113711/,"
57
","
43
",3.8,4.2
tt0113719/,"
89
","
272
",4.0,4.3
tt0113720/,"
618
","
3,631
",6.9,6.9
tt0113725/,"
890
","
2,922
",7.5,7.5
tt0113729/,"
2,124
","
2,319
",5.1,5.4
tt0113730/,"
79
","
109
",6.3,6.3
tt0113731/,"
158
","
269
",7.3,6.8
tt0113732/,"
280
","
266
",4.7,4.8
tt0113737/,"
626
","
855
",5.5,5.3
tt0113748/,"
383
","
482
",5.2,4.8
tt0113749/,"
39,999
","
43,392
",7.2,7.0
tt0113755/,"
4,161
","
2,106
",5.2,4.9
tt0113756/,"
134
","
70
",5.9,6.0
tt0113762/,"
2,609
","
3,959
",4.3,4.3
tt0113767/,"
16
","
418
",6.8,7.2
tt0113774/,"
247
","
582
",7.0,7.1
tt0113791/,"
33
","
133
",5.9,6.0
tt0113799/,"
2,554
","
8,935
",7.5,7.5
tt0113808/,"
1,077
","
1,201
",5.5,5.3
tt0113816/,"
120
","
186
",4.1,3.4
tt0113819/,"
8,192
","
19,226
",7.0,7.0
tt0113820/,"
8,315
","
9,461
",5.3,4.9
tt0113824/,"
7,252
","
25,844
",8.0,7.8
tt0113825/,"
19
","
94
",7.6,6.9
tt0113827/,"
47
","
89
",5.1,4.7
tt0113828/,"
946
","
1,612
",7.9,7.3
tt0113834/,"
64
","
235
",7.6,7.0
tt0113835/,"
14
","
404
",3.8,5.9
tt0113839/,"
87
","
42
",5.7,5.9
tt0113841/,"
8
","
119
",7.1,5.9
tt0113843/,"
157
","
130
",5.6,4.3
tt0113845/,"
7,718
","
20,515
",5.5,5.7
tt0113849/,"
787
","
939
",6.5,6.1
tt0113851/,"
886
","
1,644
",5.8,5.7
tt0113855/,"
23,980
","
51,929
",5.9,5.7
tt0113857/,"
15
","
152
",5.6,5.8
tt0113862/,"
15,051
","
9,805
",7.3,7.2
tt0113865/,"
81
","
76
",5.0,4.7
tt0113870/,"
6,194
","
13,071
",7.2,7.3
tt0113875/,"
59
","
92
",6.0,6.4
tt0113878/,"
38
","
312
",7.0,6.9
tt0113881/,"
136
","
110
",3.2,3.8
tt0113896/,"
1,829
","
839
",7.4,6.8
tt0113909/,"
47
","
328
",6.0,6.6
tt0113913/,"
40
","
326
",4.1,5.5
tt0113918/,"
111
","
1,209
",7.1,7.0
tt0113922/,"
645
","
555
",7.7,7.4
tt0113928/,"
136
","
215
",6.2,6.0
tt0113930/,"
40
","
129
",6.6,6.5
tt0113932/,"
391
","
874
",6.0,6.0
tt0113936/,"
2,017
","
2,172
",5.5,5.8
tt0113939/,"
517
","
1,039
",6.2,6.4
tt0113941/,"
19
","
84
",2.7,6.4
tt0113943/,"
34
","
99
",6.3,5.0
tt0113947/,"
590
","
2,558
",7.4,7.3
tt0113952/,"
227
","
385
",6.1,6.2
tt0113957/,"
14,194
","
28,435
",5.9,5.9
tt0113961/,"
36
","
73
",7.2,5.3
